game_id,season,seat_section,pricing_window,secondary_market_avg_price,secondary_market_listing_count,resale_price_gap_pct,resale_velocity_index,scalper_pressure_score,scalper_risk_tier
S2021_G001,2021,Upper Baseline,30_days_out,69.86,261.48,0.2294,122.66,0.5783,High
S2021_G001,2021,Upper Baseline,14_days_out,67.76,476.4,0.1652,86.84,0.5728,Medium
S2021_G001,2021,Upper Baseline,7_days_out,76.94,589.42,0.2861,98.95,0.7396,High
S2021_G001,2021,Upper Baseline,2_days_out,70.24,615.1,0.2442,100.52,0.7035,High
S2021_G001,2021,Upper Baseline,day_of_game,74.38,641.47,0.2825,89.98,0.7224,High
S2021_G001,2021,Upper Sideline,30_days_out,83.91,223.82,0.1077,64.27,0.3694,Medium
S2021_G001,2021,Upper Sideline,14_days_out,95.47,418.63,0.2346,81.07,0.5868,Medium
S2021_G001,2021,Upper Sideline,7_days_out,85.76,401.78,0.1047,76.64,0.4345,High
S2021_G001,2021,Upper Sideline,2_days_out,112.93,580.46,0.4184,93.13,0.8452,High
S2021_G001,2021,Upper Sideline,day_of_game,98.55,546.25,0.2867,85.76,0.6467,High
S2021_G001,2021,Upper Center,30_days_out,122.34,165.27,0.1909,73.57,0.3761,Medium
S2021_G001,2021,Upper Center,14_days_out,121.23,293.81,0.2594,88.79,0.5467,Medium
S2021_G001,2021,Upper Center,7_days_out,130.51,391.58,0.3135,93.54,0.6911,High
S2021_G001,2021,Upper Center,2_days_out,121.88,344.55,0.1924,78.87,0.4279,High
S2021_G001,2021,Upper Center,day_of_game,140.4,397.33,0.3579,97.6,0.7183,High
S2021_G001,2021,Lower Corner,30_days_out,153.79,99.77,0.1459,70.6,0.341,Low
S2021_G001,2021,Lower Corner,14_days_out,170.31,253.88,0.2665,84.86,0.5885,High
S2021_G001,2021,Lower Corner,7_days_out,175.91,303.55,0.2747,76.68,0.5246,High
S2021_G001,2021,Lower Corner,2_days_out,182.39,313.36,0.301,77.01,0.6,High
S2021_G001,2021,Lower Corner,day_of_game,169.53,318.44,0.2887,66.33,0.545,High
S2021_G001,2021,Lower Sideline,30_days_out,242.28,146.54,0.2506,96.9,0.5462,Medium
S2021_G001,2021,Lower Sideline,14_days_out,231.44,233.8,0.2345,82.62,0.4476,Medium
