game_id,season,seat_section,pricing_window,section_capacity,inventory_remaining,inventory_remaining_pct,current_sell_through_rate,base_ticket_price,current_ticket_price,tickets_sold_pct,sold_tickets,final_sell_through_rate,realized_revenue,revenue,promotion_flag
S2021_G001,2021,Upper Baseline,30_days_out,4200,3152,0.7505,0.2495,52.57,56.82,0.249,1048,0.899,214534.49,59543.16,0
S2021_G001,2021,Upper Baseline,14_days_out,4200,2273,0.5412,0.4588,52.57,58.15,0.459,1927,0.899,219555.93,112070.61,0
S2021_G001,2021,Upper Baseline,7_days_out,4200,1922,0.4576,0.5425,52.57,59.83,0.542,2278,0.899,225881.59,136307.11,0
S2021_G001,2021,Upper Baseline,2_days_out,4200,1376,0.3276,0.6724,52.57,56.45,0.672,2824,0.899,213125.39,159417.47,0
S2021_G001,2021,Upper Baseline,day_of_game,4200,839,0.1998,0.8003,52.57,57.99,0.8,3361,0.899,218958.62,194931.12,0
S2021_G001,2021,Upper Sideline,30_days_out,3600,2972,0.8256,0.1743,72.8,75.76,0.174,628,0.896,244482.04,47544.89,0
S2021_G001,2021,Upper Sideline,14_days_out,3600,1861,0.5169,0.483,72.8,77.33,0.483,1739,0.896,249544.95,134457.57,0
S2021_G001,2021,Upper Sideline,7_days_out,3600,1704,0.4733,0.5266,72.8,77.64,0.527,1896,0.896,250552.86,147169.95,0
S2021_G001,2021,Upper Sideline,2_days_out,3600,844,0.2344,0.7655,72.8,79.62,0.766,2756,0.896,256948.16,219416.94,0
S2021_G001,2021,Upper Sideline,day_of_game,3600,456,0.1267,0.8734,72.8,76.59,0.873,3144,0.896,247168.59,240824.59,0
S2021_G001,2021,Upper Center,30_days_out,2600,2104,0.8092,0.1906,89.13,102.74,0.191,496,0.812,216994.81,50922.77,0
S2021_G001,2021,Upper Center,14_days_out,2600,1605,0.6173,0.3826,89.13,96.26,0.383,995,0.812,203323.74,95756.06,0
S2021_G001,2021,Upper Center,7_days_out,2600,1298,0.4992,0.5009,89.13,99.36,0.501,1302,0.812,209873.14,129403.21,0
S2021_G001,2021,Upper Center,2_days_out,2600,790,0.3038,0.6963,89.13,102.22,0.696,1810,0.812,215896.47,185050.72,0
S2021_G001,2021,Upper Center,day_of_game,2600,578,0.2223,0.7777,89.13,103.39,0.778,2022,0.812,218386.73,209069.16,0
S2021_G001,2021,Lower Corner,30_days_out,2100,1776,0.8457,0.1544,125.96,134.21,0.154,324,0.742,209093.19,43524.3,0
S2021_G001,2021,Lower Corner,14_days_out,2100,1441,0.6862,0.3137,125.96,134.47,0.314,659,0.742,209499.37,88593.37,0
S2021_G001,2021,Lower Corner,7_days_out,2100,1104,0.5257,0.4742,125.96,138.0,0.474,996,0.742,214993.75,137429.66,0
S2021_G001,2021,Lower Corner,2_days_out,2100,752,0.3581,0.6418,125.96,140.2,0.642,1348,0.742,218425.55,188945.39,0
S2021_G001,2021,Lower Corner,day_of_game,2100,682,0.3248,0.6754,125.96,131.55,0.675,1418,0.742,204948.92,186574.22,0
S2021_G001,2021,Lower Sideline,30_days_out,1900,1660,0.8737,0.1265,170.24,193.73,0.126,240,0.772,284202.12,46544.79,0
S2021_G001,2021,Lower Sideline,14_days_out,1900,1361,0.7163,0.2835,170.24,187.47,0.284,539,0.772,275016.18,100983.64,0
S2021_G001,2021,Lower Sideline,7_days_out,1900,1037,0.5458,0.454,170.24,188.2,0.454,863,0.772,276089.53,162333.54,0
S2021_G001,2021,Lower Sideline,2_days_out,1900,690,0.3632,0.6368,170.24,182.05,0.637,1210,0.772,267067.65,220253.97,0
S2021_G001,2021,Lower Sideline,day_of_game,1900,651,0.3426,0.6576,170.24,177.82,0.658,1249,0.772,260870.28,222189.82,0
S2021_G001,2021,Lower Center,30_days_out,1200,952,0.7933,0.2067,206.69,232.24,0.207,248,0.752,209512.93,57614.78,0
S2021_G001,2021,Lower Center,14_days_out,1200,677,0.5642,0.4362,206.69,226.13,0.436,523,0.752,204000.98,118368.79,0
S2021_G001,2021,Lower Center,7_days_out,1200,596,0.4967,0.5033,206.69,224.05,0.503,604,0.752,202126.85,135306.97,0
S2021_G001,2021,Lower Center,2_days_out,1200,499,0.4158,0.5841,206.69,234.31,0.584,701,0.752,211384.11,164225.34,0
S2021_G001,2021,Lower Center,day_of_game,1200,371,0.3092,0.6905,206.69,224.8,0.69,829,0.752,202806.64,186268.0,0
S2021_G001,2021,Club Level,30_days_out,950,825,0.8684,0.1315,317.0,352.63,0.131,125,0.743,248948.7,44051.83,0
S2021_G001,2021,Club Level,14_days_out,950,624,0.6568,0.3436,317.0,358.82,0.344,326,0.743,253321.66,117140.89,0
