season,game_id,game_date,day_of_week,weekend_flag,holiday_flag,rivalry_flag,division_matchup_flag,opponent,opponent_strength,home_team_win_rate,away_team_win_rate,home_team_recent_form,away_team_recent_form,playoff_implication_score,premium_game_flag,seat_section,section_capacity,inventory_remaining,inventory_remaining_pct,current_sell_through_rate,seat_quality_score,base_ticket_price,current_ticket_price,price_change_from_base_pct,days_before_game,pricing_window,days_until_game_bucket,month,season_stage,website_traffic_index,search_interest_index,social_sentiment_score,social_volume_index,email_campaign_active,promotion_flag,marketing_spend_index,star_player_available,injury_news_severity,weather_severity,temperature_score,demand_signal_score,secondary_market_avg_price,secondary_market_listing_count,resale_price_gap_pct,resale_velocity_index,scalper_pressure_score,rolling_3_game_attendance_rate,rolling_5_game_sell_through_rate,previous_similar_game_sell_through,same_opponent_last_season_attendance,section_historical_fill_rate,historical_price_elasticity_section,historical_attendance_rate,affordability_segment,affordability_index,local_income_proxy,final_sell_through_rate,final_attendance_rate,realized_revenue,revenue_per_available_seat,unsold_inventory_pct,actual_secondary_market_gap,realized_demand_score,demand_index,demand_tier,scalper_risk_tier,scalper_risk_label,optimal_price_oracle,recommended_price_target,tickets_sold_pct,sold_tickets,attendance_rate,revenue,predicted_demand_tier,predicted_demand_probability,predicted_sell_through,predicted_scalper_risk_tier,predicted_scalper_risk_probability,recommended_price,price_change_pct,expected_sell_through,expected_revenue,revenue_uplift_vs_current,secondary_market_leakage_reduction,human_approval_required,affordability_risk_flag,capped_by_guardrail,pricing_action
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Upper Baseline,4200,3451,0.8217,0.1784,0.38,49.33,50.06,0.0147,30,30_days_out,21_plus_days,10,early,97.96,70.56,0.215,66.18,0,0,80.7,1,0.236,0.278,0.883,0.3239,53.41,71.01,0.067,44.21,0.2242,0.682,0.834,0.815,0.792,0.78,-1.418,0.682,Value-sensitive,42.1,44.72,0.76,0.701,159804.21,38.05,0.24,3.35,0.81,0.81,Low,Low,Low,43.29,43.29,0.178,749,0.701,37509.03,Low,0.9909974811078152,0.7377194810402051,Low,0.985329138126576,41.93,-0.1624,0.8576,151030.09,-4076.9,0.0,False,True,False,Discount
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Upper Baseline,4200,2732,0.6505,0.3495,0.38,49.33,53.22,0.0788,14,14_days_out,8_to_20_days,10,early,148.87,100.67,0.335,82.49,0,0,80.7,1,0.236,0.278,0.883,0.4489,59.46,133.95,0.1172,58.61,0.3518,0.682,0.834,0.815,0.792,0.78,-1.418,0.682,Value-sensitive,43.16,39.97,0.76,0.701,169896.19,40.45,0.24,6.24,0.81,0.81,Low,Low,Low,43.46,43.46,0.35,1468,0.701,78131.27,Low,0.7995614214167451,0.7627803109492314,Low,0.6983633541692281,44.4,-0.1658,0.8921,166346.73,-4152.98,0.0,False,True,False,Discount
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Upper Baseline,4200,2303,0.5483,0.4516,0.38,49.33,50.8,0.0297,7,7_days_out,3_to_7_days,10,early,134.93,97.67,0.277,113.51,0,0,80.7,1,0.236,0.278,0.883,0.4641,56.62,148.44,0.1146,42.43,0.2652,0.682,0.834,0.815,0.792,0.78,-1.418,0.682,Value-sensitive,41.66,39.81,0.76,0.701,162176.19,38.61,0.24,5.82,0.81,0.81,Low,Low,Low,43.54,43.54,0.452,1897,0.701,96352.71,Low,0.8716355700333402,0.7478003806614828,Low,0.8117390628000117,41.93,-0.1746,0.8829,155492.73,-4057.96,0.0,False,True,False,Discount
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Upper Baseline,4200,1567,0.3731,0.627,0.38,49.33,50.99,0.0335,2,2_days_out,1_to_2_days,10,early,181.22,104.87,0.367,119.9,0,0,80.7,1,0.236,0.278,0.883,0.5517,57.56,164.0,0.129,61.82,0.2765,0.682,0.834,0.815,0.792,0.78,-1.418,0.682,Value-sensitive,45.56,42.91,0.76,0.701,162768.08,38.75,0.24,6.58,0.81,0.81,Medium,Medium,Medium,50.03,50.03,0.627,2633,0.701,134261.22,Medium,0.9247548551001921,0.7665470184030682,Medium,0.7111244188980396,43.16,-0.1535,0.9334,169210.49,5048.31,0.0,False,True,False,Discount
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Upper Baseline,4200,1243,0.296,0.7041,0.38,49.33,52.31,0.0603,0,day_of_game,day_of_game,10,early,175.9,110.87,0.461,115.02,0,0,80.7,1,0.236,0.278,0.883,0.5771,61.78,221.99,0.1812,58.09,0.4591,0.682,0.834,0.815,0.792,0.78,-1.418,0.682,Value-sensitive,43.64,43.0,0.76,0.701,166980.77,39.76,0.24,9.48,0.81,0.81,Medium,Medium,Medium,50.29,50.29,0.704,2957,0.701,154679.14,Medium,0.949395291122958,0.7640521081048328,Medium,0.8930795446912826,44.4,-0.1513,0.9279,173031.18,5167.4,0.0,False,True,False,Discount
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Upper Sideline,3600,2933,0.8147,0.1854,0.46,60.6,65.6,0.0825,30,30_days_out,21_plus_days,10,early,109.55,77.37,0.416,80.6,0,0,80.7,1,0.236,0.278,0.883,0.3718,73.68,55.78,0.1231,50.15,0.2508,0.817,0.71,0.708,0.99,0.781,-1.38,0.817,Value-sensitive,46.39,49.17,0.825,0.8,194833.53,54.12,0.175,8.07,0.737,0.737,Low,Low,Low,53.42,53.42,0.185,667,0.8,43778.12,Low,0.9727342545175072,0.7609104765606519,Low,0.9683934053803587,54.54,-0.1686,0.8879,174343.15,-5353.47,0.0,False,True,False,Discount
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Upper Sideline,3600,2181,0.6058,0.3942,0.46,60.6,58.56,-0.0337,14,14_days_out,8_to_20_days,10,early,139.43,81.93,0.301,102.22,0,0,80.7,1,0.236,0.278,0.883,0.4484,67.56,139.61,0.1537,59.57,0.3223,0.817,0.71,0.708,0.99,0.781,-1.38,0.817,Value-sensitive,44.86,47.23,0.825,0.8,173927.5,48.31,0.175,9.0,0.737,0.737,Medium,Medium,Medium,61.72,61.72,0.394,1419,0.8,83113.65,Low,0.9008412071836359,0.7706683333964534,Low,0.7641895312112245,48.48,-0.1721,0.9037,157726.83,-4742.39,0.0,False,True,False,Discount
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Upper Sideline,3600,1689,0.4692,0.5309,0.46,60.6,62.28,0.0277,7,7_days_out,3_to_7_days,10,early,162.72,81.95,0.216,93.25,0,0,80.7,1,0.236,0.278,0.883,0.4674,67.41,113.15,0.0824,50.25,0.2,0.817,0.71,0.708,0.99,0.781,-1.38,0.817,Value-sensitive,53.2,40.88,0.825,0.8,184971.77,51.38,0.175,5.13,0.737,0.737,Medium,Medium,Medium,61.14,61.14,0.531,1911,0.8,119026.07,Low,0.8597736932704863,0.7874329726840781,Low,0.9494564605926372,53.03,-0.1486,0.8989,171593.62,-4955.15,0.0,False,True,False,Discount
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Upper Sideline,3600,1020,0.2833,0.7165,0.46,60.6,63.35,0.0453,2,2_days_out,1_to_2_days,10,early,171.94,107.09,0.289,119.49,0,0,80.7,1,0.236,0.278,0.883,0.5542,71.27,125.41,0.125,36.87,0.226,0.817,0.71,0.708,0.99,0.781,-1.38,0.817,Value-sensitive,42.7,51.78,0.825,0.8,188137.31,52.26,0.175,7.92,0.737,0.737,Medium,Low,Low,61.4,61.4,0.717,2580,0.8,163406.2,Medium,0.9344036542970169,0.8221360180180295,Low,0.6110218687717611,54.54,-0.1391,0.9799,192400.64,4904.3,0.0,False,True,False,Discount
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Upper Sideline,3600,737,0.2047,0.7954,0.46,60.6,61.83,0.0202,0,day_of_game,day_of_game,10,early,184.83,90.37,0.333,118.44,0,0,80.7,1,0.236,0.278,0.883,0.5561,66.42,138.71,0.0743,54.91,0.2546,0.817,0.71,0.708,0.99,0.781,-1.38,0.817,Value-sensitive,53.14,49.06,0.825,0.8,183617.61,51.0,0.175,4.6,0.737,0.737,Medium,Medium,Medium,61.1,61.1,0.795,2863,0.8,177023.54,Medium,0.9452214457161774,0.8405731449909025,Low,0.5409621469993663,54.54,-0.1179,0.9773,191894.97,4793.47,0.0,False,True,False,Discount
